index,Job Title,job_title_sim,Company Name,Location City,Location State,Size,Type of ownership,Industry,Sector,Lower Salary,Upper Salary,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Salary Estimate,Rating
25,Data Scientist,Data Scientist,Novetta,Herndon, VA,501 - 1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,109,177,143,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,$109K-$177K (Glassdoor est.),4
26,Digital Health Data Scientist,Data Scientist,Pfizer,Cambridge, MA,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,63,110,86.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,$63K-$110K (Glassdoor est.),4
27,Data Scientist,Data Scientist,First Tech Federal Credit Union,Hillsboro, OR,1001 - 5000,Company - Private,Banks & Credit Unions,Finance,75,124,99.5,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,$75K-$124K (Glassdoor est.),3.5
28,Associate Data Analyst,Data Analyst,The Hanover Insurance Group,Worcester, MA,5001 - 10000,Company - Public,Insurance Carriers,Insurance,34,61,47.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$34K-$61K (Glassdoor est.),3.7
29,Clinical Data Scientist,Data Scientist,Pfizer,Groton, CT,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,63,105,84,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,$63K-$105K (Glassdoor est.),4
30,Data Scientist,Data Scientist,KnowBe4,Clearwater, FL,501 - 1000,Company - Private,Security Services,Business Services,80,90,85,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,$80K-$90K (Glassdoor est.),4.8
31,Data Scientist,Data Scientist,PNNL,Richland, WA,1001 - 5000,Government,Energy,"Oil, Gas, Energy & Utilities",56,97,76.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$56K-$97K (Glassdoor est.),3.8
32,Data Scientist,Data Scientist,Amrock,Detroit, MI,1001 - 5000,Company - Private,Real Estate,Real Estate,72,120,96,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,$72K-$120K (Glassdoor est.),3.6
33,Data Scientist / Machine Learning Expert,Data Scientist,Novartis,Cambridge, MA,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,86,143,114.5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,$86K-$143K (Glassdoor est.),3.8
34,Data Scientist,Data Scientist,Juniper Networks,Sunnyvale, CA,5001 - 10000,Company - Public,Telecommunications Services,Telecommunications,93,149,121,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,$93K-$149K (Glassdoor est.),3.8
35,Data Scientist,Data Scientist,New England Biolabs,Ipswich, MA,201 - 500,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,85,140,112.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$85K-$140K (Glassdoor est.),4.7
36,Web Data Analyst,Data Analyst,Clarity Insights,San Jose, CA,201 - 500,Company - Private,IT Services,Information Technology,77,135,106,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,$77K-$135K (Glassdoor est.),4.2
37,Data Scientist,Data Scientist,Esri,Redlands, CA,1001 - 5000,Company - Private,Computer Hardware & Software,Information Technology,82,132,107,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,$82K-$132K (Glassdoor est.),3.5
38,Data Scientist,Data Scientist,Systems & Technology Research,Woburn, MA,201 - 500,Company - Private,Aerospace & Defense,Aerospace & Defense,83,137,110,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,$83K-$137K (Glassdoor est.),4.7
39,Senior Data Scientist,Data Scientist,Sartorius,Fremont, CA,5001 - 10000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,115,180,147.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$115K-$180K (Glassdoor est.),3.5
40,Data Engineer,Data Engineer,Lancer Insurance,Long Beach, NY,201 - 500,Company - Private,Insurance Carriers,Insurance,74,138,106,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,$74K-$138K (Glassdoor est.),3.5
41,Data Analyst,Data Analyst,Sauce Labs,San Francisco, CA,201 - 500,Company - Private,IT Services,Information Technology,64,112,88,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,$64K-$112K (Glassdoor est.),4.2
42,Data Scientist - Algorithms & Inference,Data Scientist,Nuna,San Francisco, CA,51 - 200,Company - Private,Enterprise Software & Network Solutions,Information Technology,110,175,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$110K-$175K (Glassdoor est.),4.2
43,Scientist,Other Scientist,Edgewell Personal Care,Allendale, NJ,5001 - 10000,Company - Public,Consumer Products Manufacturing,Manufacturing,52,113,82.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,$52K-$113K (Glassdoor est.),3.4
44,Senior Data Scientist,Data Scientist,Equity Residential,Chicago, IL,1001 - 5000,Company - Public,Real Estate,Real Estate,110,150,130,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,$110K-$150K(Employer est.),4.3
45,Data Scientist,Data Scientist,BPA Services,Washington, DC,1 - 50,Company - Private,Enterprise Software & Network Solutions,Information Technology,150,160,155,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Employer Provided Salary:$150K-$160K,5
46,Lead Data Scientist,Data Scientist,Visa Inc.,Bellevue, WA,10000+,Company - Public,IT Services,Information Technology,158,211,184.5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,$158K-$211K (Glassdoor est.),3.7
47,Associate Data Analyst,Data Analyst,Intrado,Longmont, CO,5001 - 10000,Company - Private,Enterprise Software & Network Solutions,Information Technology,20,39,29.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$20K-$39K (Glassdoor est.),3.1
48,Spectral Scientist/Engineer,Other Scientist,Centauri,Beavercreek, OH,501 - 1000,Company - Private,Aerospace & Defense,Aerospace & Defense,56,117,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$56K-$117K (Glassdoor est.),4.7
49,College Hire - Data Scientist - Open to December 2019 Graduates,Data Scientist,Caterpillar,Peoria, IL,10000+,Company - Public,Industrial Manufacturing,Manufacturing,63,99,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,$63K-$99K (Glassdoor est.),3.7
50,Data Scientist,Data Scientist,Zimmerman Advertising,Fort Lauderdale, FL,501 - 1000,Subsidiary or Business Segment,Advertising & Marketing,Business Services,68,114,91,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,$68K-$114K (Glassdoor est.),3.8
51,"Data Scientist, Office of Data Science",Data Scientist,Liberty Mutual Insurance,Boston, MA,10000+,Company - Private,Insurance Carriers,Insurance,86,143,114.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$86K-$143K (Glassdoor est.),3.3
52,Data Science Analyst,Data Scientist,Torch Technologies Inc.,Huntsville, AL,1001 - 5000,Company - Private,Aerospace & Defense,Aerospace & Defense,41,95,68,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,$41K-$95K (Glassdoor est.),4.6
53,Data Scientist,Data Scientist,Swiss Re,Armonk, NY,10000+,Company - Public,Insurance Agencies & Brokerages,Insurance,86,144,115,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,$86K-$144K (Glassdoor est.),3.7
54,Data Scientist,Data Scientist,Northrop Grumman,San Diego, CA,10000+,Company - Public,Aerospace & Defense,Aerospace & Defense,80,139,109.5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,$80K-$139K (Glassdoor est.),3.7
55,Data Scientist,Data Scientist,Sartorius,Albuquerque, NM,5001 - 10000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,56,95,75.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$56K-$95K (Glassdoor est.),3.5
56,Data Scientist,Data Scientist,Netskope,San Francisco, CA,501 - 1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,120,189,154.5,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,$120K-$189K (Glassdoor est.),4.1
57,Data Scientist,Data Scientist,1904labs,Saint Louis, MO,51 - 200,Company - Private,IT Services,Information Technology,111,176,143.5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,$111K-$176K (Glassdoor est.),4.7
58,Data Scientist,Data Scientist,ClearOne Advantage,Baltimore, MD,501 - 1000,Company - Private,Banks & Credit Unions,Finance,54,93,73.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$54K-$93K (Glassdoor est.),4.1
59,Data Scientist,Data Scientist,CyrusOne,Dallas, TX,201 - 500,Company - Public,Real Estate,Real Estate,71,119,95,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,$71K-$119K (Glassdoor est.),3.4
60,Senior Data Scientist,Data Scientist,The David J. Joseph Company,Cincinnati, OH,201 - 500,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,82,132,107,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,$82K-$132K (Glassdoor est.),4.4
61,Data Scientist,Data Scientist,USEReady,New York, NY,201 - 500,Company - Private,Consulting,Business Services,84,146,115,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,$84K-$146K (Glassdoor est.),4.3
62,Senior Risk Data Scientist,Data Scientist,Bill.com,Palo Alto, CA,501 - 1000,Company - Public,Financial Transaction Processing,Finance,107,172,139.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,$107K-$172K (Glassdoor est.),3.8
63,Data Scientist in Artificial Intelligence Early Career,Data Scientist,Pacific Northwest National Laboratory,Richland, WA,1001 - 5000,Government,Energy,"Oil, Gas, Energy & Utilities",49,85,67,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,$49K-$85K (Glassdoor est.),3.8
64,Data Scientist,Data Scientist,DICK'S Sporting Goods - Corporate,Coraopolis, PA,10000+,Company - Public,Sporting Goods Stores,Retail,61,109,85,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,$61K-$109K (Glassdoor est.),3.8
65,Data Scientist,Data Scientist,Berg Health,Framingham, MA,51 - 200,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,88,148,118,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,$88K-$148K (Glassdoor est.),2.8
66,Data Scientist,Data Scientist,Oversight Systems,Atlanta, GA,51 - 200,Company - Private,Computer Hardware & Software,Information Technology,60,99,79.5,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,$60K-$99K (Glassdoor est.),4.7
67,Data Scientist - Research,Data Scientist,C Space,Boston, MA,201 - 500,Company - Public,Advertising & Marketing,Business Services,41,72,56.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,$41K-$72K (Glassdoor est.),3.1
68,Data Scientist,Data Scientist,Numeric LLC,Philadelphia, PA,1 - 50,Company - Private,Staffing & Outsourcing,Business Services,96,161,128.5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,$96K-$161K (Glassdoor est.),3.2
69,R&D Data Analysis Scientist,Other Scientist,HP Inc.,Vancouver, WA,10000+,Company - Public,Computer Hardware & Software,Information Technology,65,130,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$65K-$130K (Glassdoor est.),4
70,Analytics Consultant,Data Analyst,SpringML,Indianapolis, IN,1 - 50,Company - Private,Enterprise Software & Network Solutions,Information Technology,52,81,66.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,$52K-$81K (Glassdoor est.),4.4
71,"Director, Data Science",Data Scientist,Grainger,Lake Forest, IL,10000+,Company - Public,Wholesale,Business Services,139,220,179.5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,$139K-$220K (Glassdoor est.),3.6
72,Scientist,Other Scientist,EAG Laboratories,Maryland Heights, MO,501 - 1000,Subsidiary or Business Segment,Research & Development,Business Services,50,102,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$50K-$102K (Glassdoor est.),2.7
73,Data Scientist SR,Data Scientist,The Buffalo Group,Charlottesville, VA,501 - 1000,Company - Private,IT Services,Information Technology,85,139,112,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,$85K-$139K (Glassdoor est.),3.9
74,Data Scientist,Data Scientist,Carmeuse,Pittsburgh, PA,1001 - 5000,Company - Private,Mining,Mining & Metals,74,122,98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,$74K-$122K (Glassdoor est.),3.1
75,R&D Sr Data Scientist,Data Scientist,HP Inc.,Vancouver, WA,10000+,Company - Public,Computer Hardware & Software,Information Technology,99,157,128,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,$99K-$157K (Glassdoor est.),4
